epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.659,1.37306,3.56124,1.24013,0.23149,0.29878,0.15468,0.09553,1.10831,3.24405,1.028,0.000545744,0.000545744,0.000545744
2,48.1285,1.2569,2.44639,1.143,0.44079,0.69234,0.43358,0.29377,1.14164,2.06159,1.09372,0.00109051,0.00109051,0.00109051
3,68.0041,1.2517,2.12499,1.14131,0.19132,0.3895,0.12665,0.07476,1.2068,3.20937,1.18473,0.00162427,0.00162427,0.00162427
4,86.6379,1.23313,1.86434,1.13695,0.46302,0.76594,0.45693,0.30235,1.11446,1.49692,1.07807,0.00161749,0.00161749,0.00161749
5,106.461,1.21352,1.68129,1.12615,0.43779,0.81431,0.48455,0.32546,1.159,1.3992,1.10397,0.00160099,0.00160099,0.00160099
6,125.023,1.17361,1.53256,1.11513,0.44628,0.83789,0.47667,0.33111,1.14358,1.33223,1.09861,0.00158448,0.00158448,0.00158448
7,144.645,1.15847,1.44543,1.12624,0.43643,0.70175,0.4258,0.29515,1.09321,1.84372,1.09319,0.00156798,0.00156798,0.00156798
8,164.207,1.13589,1.42226,1.10225,0.45501,0.82389,0.49027,0.33728,1.07581,1.28522,1.07496,0.00155148,0.00155148,0.00155148
9,183.778,1.14904,1.3728,1.1067,0.44477,0.81518,0.48434,0.33336,1.09134,1.33836,1.07343,0.00153497,0.00153497,0.00153497
10,202.14,1.11047,1.31016,1.10611,0.45304,0.75343,0.45411,0.30021,1.20381,1.39414,1.18337,0.00151847,0.00151847,0.00151847
11,221.482,1.09621,1.29518,1.09115,0.43788,0.81984,0.4715,0.32204,1.09164,1.22645,1.09026,0.00150197,0.00150197,0.00150197
12,240.005,1.13509,1.27893,1.10901,0.46384,0.86546,0.4974,0.34034,1.08196,1.20839,1.11405,0.00148546,0.00148546,0.00148546
13,259.427,1.12065,1.24992,1.07261,0.45022,0.8306,0.46891,0.33239,1.02804,1.29382,1.0471,0.00146896,0.00146896,0.00146896
14,278.265,1.07298,1.27469,1.07043,0.42641,0.7572,0.47155,0.33023,1.10614,1.4203,1.10477,0.00145246,0.00145246,0.00145246
15,297.015,1.03023,1.18903,1.04838,0.45784,0.79895,0.46542,0.32521,1.08194,1.24723,1.07181,0.00143595,0.00143595,0.00143595
16,316.312,1.09372,1.21045,1.08646,0.43332,0.77772,0.45746,0.31108,1.15043,1.36772,1.17147,0.00141945,0.00141945,0.00141945
17,334.727,1.06838,1.17922,1.07573,0.45669,0.85636,0.48622,0.36146,0.98562,1.23652,1.0387,0.00140295,0.00140295,0.00140295
18,354.418,1.06755,1.1877,1.0561,0.40378,0.83259,0.44736,0.32103,1.00354,1.41448,1.04128,0.00138644,0.00138644,0.00138644
19,372.923,1.02213,1.16986,1.04662,0.46124,0.80266,0.46072,0.33106,0.98964,1.19714,1.04591,0.00136994,0.00136994,0.00136994
20,392.768,1.01367,1.13896,1.04014,0.4388,0.80467,0.4597,0.33097,1.03232,1.31928,1.06676,0.00135344,0.00135344,0.00135344
21,411.545,1.05446,1.14436,1.06584,0.41896,0.84188,0.47299,0.3332,1.03439,1.25757,1.05053,0.00133693,0.00133693,0.00133693
22,432.518,1.04629,1.13809,1.05758,0.43418,0.83438,0.47832,0.3386,1.02378,1.23957,1.05257,0.00132043,0.00132043,0.00132043
23,451.461,1.02618,1.11358,1.0441,0.43673,0.83752,0.44736,0.31422,1.04378,1.26847,1.05522,0.00130393,0.00130393,0.00130393
24,470.99,1.01339,1.12048,1.05731,0.42345,0.86653,0.46131,0.33364,0.94852,1.21626,1.03206,0.00128742,0.00128742,0.00128742
25,489.431,1.03457,1.08408,1.06715,0.41986,0.86886,0.45813,0.32339,1.05993,1.28177,1.06027,0.00127092,0.00127092,0.00127092
